,movieId,average_rating,standardized_vote_count,Unnamed: 0,title,genres
0,1,3.9209302325581397,3.2674772036474167,0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,2,3.4318181818181817,1.6717325227963526,1,Jumanji (1995),Adventure|Children|Fantasy
2,6,3.946078431372549,1.5501519756838906,5,Heat (1995),Action|Crime|Thriller
3,10,3.496212121212121,2.0060790273556233,9,GoldenEye (1995),Action|Adventure|Thriller
4,32,3.983050847457627,2.689969604863222,31,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
5,34,3.65234375,1.9452887537993921,32,Babe (1995),Children|Drama
6,39,3.293269230769231,1.580547112462006,35,Clueless (1995),Comedy|Romance
7,47,3.9753694581280787,3.0851063829787235,43,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
8,50,4.237745098039215,3.1003039513677813,46,The Usual Suspects (1995),Crime|Mystery|Thriller
9,110,4.031645569620253,3.601823708206687,97,Braveheart (1995),Action|Drama|War
10,111,4.105769230769231,1.580547112462006,98,Taxi Driver (1976),Crime|Drama|Thriller
11,150,3.845771144278607,3.054711246200608,123,Apollo 13 (1995),Adventure|Drama|IMAX
12,153,2.9160583941605838,2.082066869300912,126,Batman Forever (1995),Action|Adventure|Comedy|Crime
13,161,3.6359223300970873,1.5653495440729484,134,Crimson Tide (1995),Drama|Thriller|War
14,165,3.5555555555555554,2.188449848024316,138,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
15,185,3.0401785714285716,1.702127659574468,156,The Net (1995),Action|Crime|Thriller
16,208,2.9130434782608696,1.7477203647416413,176,Waterworld (1995),Action|Adventure|Sci-Fi
17,223,3.855769230769231,1.580547112462006,190,Clerks (1994),Comedy
18,231,3.0601503759398496,2.021276595744681,197,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
19,253,3.458715596330275,1.656534954407295,217,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
20,260,4.231075697211155,3.8145896656534957,224,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
21,292,3.4257425742574257,1.534954407294833,253,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
22,293,4.018796992481203,2.021276595744681,254,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
23,296,4.197068403908795,4.665653495440729,257,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
24,316,3.375,2.127659574468085,275,Stargate (1994),Action|Adventure|Sci-Fi
25,318,4.429022082018927,4.817629179331307,277,The Shawshank Redemption (1994),Crime|Drama
26,329,3.3935185185185186,1.6413373860182372,287,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
27,344,3.040372670807453,2.4468085106382977,302,Ace Ventura: Pet Detective (1994),Comedy
28,349,3.6045454545454545,1.6717325227963526,307,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
29,356,4.164133738601824,5.0,314,Forrest Gump (1994),Comedy|Drama|Romance|War
30,357,3.5194174757281553,1.5653495440729484,315,Four Weddings and a Funeral (1994),Comedy|Romance
31,364,3.941860465116279,2.613981762917933,322,The Lion King (1994),Adventure|Animation|Children|Drama|Musical|IMAX
32,367,3.1847133757961785,2.386018237082067,325,The Mask (1994),Action|Comedy|Crime|Fantasy
33,377,3.5292397660818713,2.5987841945288754,334,Speed (1994),Action|Romance|Thriller
34,380,3.497191011235955,2.7051671732522795,337,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
35,434,3.0346534653465347,1.534954407294833,378,Cliffhanger (1993),Action|Adventure|Thriller
36,454,3.5346534653465347,1.534954407294833,395,The Firm (1993),Drama|Thriller
37,457,3.9921052631578946,2.8875379939209727,398,The Fugitive (1993),Thriller
38,480,3.75,3.617021276595745,418,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
39,500,3.388888888888889,2.188449848024316,436,Mrs. Doubtfire (1993),Comedy|Drama
40,527,4.225,3.3434650455927053,461,Schindler's List (1993),Drama|War
41,539,3.4716981132075473,1.6109422492401215,472,Sleepless in Seattle (1993),Comedy|Drama|Romance
42,541,4.100806451612903,1.8844984802431612,474,Blade Runner (1982),Action|Sci-Fi|Thriller
43,586,2.9956896551724137,1.7629179331306992,504,Home Alone (1990),Children|Comedy
44,587,3.4347826086956523,1.7477203647416413,505,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller
45,588,3.7923497267759565,2.7811550151975686,506,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
46,589,3.970982142857143,3.404255319148936,507,Terminator 2: Judgment Day (1991),Action|Sci-Fi
47,590,3.8353658536585367,2.4924012158054714,508,Dances with Wolves (1990),Adventure|Drama|Western
48,592,3.4285714285714284,2.872340425531915,509,Batman (1989),Action|Crime|Thriller
49,593,4.161290322580645,4.240121580547113,510,The Silence of the Lambs (1991),Crime|Horror|Thriller
50,595,3.7705479452054793,2.218844984802432,512,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
51,597,3.4851851851851854,2.0516717325227964,514,Pretty Woman (1990),Comedy|Romance
52,608,4.116022099447513,2.750759878419453,520,Fargo (1996),Comedy|Crime|Drama|Thriller
53,648,3.537037037037037,2.4620060790273555,546,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller
54,733,3.6404958677685952,1.8389057750759878,592,The Rock (1996),Action|Adventure|Thriller
55,736,3.321138211382114,1.8693009118541033,594,Twister (1996),Action|Adventure|Romance|Thriller
56,778,4.03921568627451,1.5501519756838906,613,Trainspotting (1996),Comedy|Crime|Drama
57,780,3.4455445544554455,3.069908814589666,615,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
58,858,4.2890625,2.917933130699088,659,The Godfather (1972),Crime|Drama
59,924,3.8944954128440368,1.656534954407295,706,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
60,1036,3.8620689655172415,2.2036474164133737,793,Die Hard (1988),Action|Crime|Thriller
61,1073,3.8739495798319328,1.8085106382978724,815,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical
62,1089,4.202290076335878,1.9908814589665653,828,Reservoir Dogs (1992),Crime|Mystery|Thriller
63,1097,3.7663934426229506,1.8541033434650456,836,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi
64,1136,4.161764705882353,2.066869300911854,863,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
65,1193,4.203007518796992,2.021276595744681,896,One Flew Over the Cuckoo's Nest (1975),Drama
66,1196,4.2156398104265405,3.2066869300911853,898,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
67,1197,4.232394366197183,2.1580547112462005,899,The Princess Bride (1987),Action|Adventure|Comedy|Fantasy|Romance
